Kontoauszug 
 
Kontonummer: 10000001 	 BankSST 
Datum 	 	 	 Verwendungszweck 	 	 	 	 	 Betrag 
 
16 10 2016 21:51:08 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
16 10 2016 21:51:08 	  	 	 	 	 	 -200.000000 
16 10 2016 21:51:08 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 22:20:53 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 22:20:53 	  	 	 	 	 	 -200.000000 
17 10 2016 22:20:53 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 22:21:10 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 22:21:10 	  	 	 	 	 	 -200.000000 
17 10 2016 22:21:10 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 22:30:50 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 22:30:50 	  	 	 	 	 	 -200.000000 
17 10 2016 22:30:50 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 22:31:39 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 22:31:39 	  	 	 	 	 	 -200.000000 
17 10 2016 22:31:39 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 22:33:32 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 22:33:32 	  	 	 	 	 	 -200.000000 
17 10 2016 22:33:32 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 22:34:53 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 22:34:53 	  	 	 	 	 	 -200.000000 
17 10 2016 22:34:53 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 22:35:18 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 22:35:18 	  	 	 	 	 	 -200.000000 
17 10 2016 22:35:18 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 22:35:42 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 22:35:42 	  	 	 	 	 	 -200.000000 
17 10 2016 22:35:42 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 23:16:50 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 23:16:50 	  	 	 	 	 	 -200.000000 
17 10 2016 23:16:50 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 23:17:37 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 23:17:37 	  	 	 	 	 	 -200.000000 
17 10 2016 23:17:37 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
17 10 2016 23:23:36 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
17 10 2016 23:23:36 	  	 	 	 	 	 -200.000000 
17 10 2016 23:23:36 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:24:32 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:24:32 	  	 	 	 	 	 -200.000000 
18 10 2016 00:24:32 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:29:21 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:29:21 	  	 	 	 	 	 -200.000000 
18 10 2016 00:29:21 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:30:00 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:30:00 	  	 	 	 	 	 -200.000000 
18 10 2016 00:30:00 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:32:25 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:32:25 	  	 	 	 	 	 -200.000000 
18 10 2016 00:32:25 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:32:47 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:32:47 	  	 	 	 	 	 -200.000000 
18 10 2016 00:32:47 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:36:03 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:36:03 	  	 	 	 	 	 -200.000000 
18 10 2016 00:36:03 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:41:55 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:41:55 	  	 	 	 	 	 -200.000000 
18 10 2016 00:41:55 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:45:25 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:45:25 	  	 	 	 	 	 -200.000000 
18 10 2016 00:45:25 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 00:50:45 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 00:50:45 	  	 	 	 	 	 -200.000000 
18 10 2016 00:50:45 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 01:07:38 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 01:07:38 	  	 	 	 	 	 -200.000000 
18 10 2016 01:07:38 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 01:07:38 	 Testbetragüberweisung 	 	 	 	 	 -500.000000 
18 10 2016 01:07:48 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 01:07:48 	  	 	 	 	 	 -200.000000 
18 10 2016 01:07:48 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 01:07:48 	 Testbetragüberweisung 	 	 	 	 	 -500.000000 
18 10 2016 01:07:59 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 01:07:59 	  	 	 	 	 	 -200.000000 
18 10 2016 01:07:59 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
18 10 2016 01:07:59 	 Testbetragüberweisung 	 	 	 	 	 -500.000000 
18 10 2016 01:09:46 	 erste Einzahlung aufs Konto 	 	 	 	 	 +1000.000000 
18 10 2016 01:09:46 	  	 	 	 	 	 -200.000000 
18 10 2016 01:09:46 	 Testbetragüberweisung 	 	 	 	 	 +500.000000 
